date,value
20150101,3
20150102,7.3
20150103,3.8
20150104,3.9
20150105,2.4
20150106,2.8
20150107,4.5
20150108,6.5
20150109,9.9
20150110,9.5
20150111,6.4
20150112,8.4
20150113,8.6
20150114,4.4
20150115,7.9
20150116,5.5
20150117,3
20150118,2.2
20150119,1
20150120,0.8
20150121,0.5
20150122,0
20150123,0
20150124,2.2
20150125,3.7
20150126,5.9
20150127,5.1
20150128,5.3
20150129,2.4
20150130,1.7
20150131,1
20150201,2.6
20150202,2
20150203,1.7
20150204,0.2
20150205,0
20150206,0
20150207,1.5
20150208,5
20150209,5.7
20150210,5.7
20150211,4.2
20150212,2.6
20150213,4.6
20150214,6.6
20150215,2.6
20150216,0.9
20150217,3.3
20150218,1.8
20150219,3.5
20150220,5.3
20150221,3.2
20150222,3.2
20150223,5.9
20150224,5.4
20150225,4.8
20150226,6.3
20150227,4.9
20150228,5.1
20150301,8.3
20150302,5.3
20150303,4.4
20150304,5.1
20150305,5.7
20150306,6.6
20150307,8.4
20150308,9.3
20150309,8.8
20150310,7.6
20150311,2.7
20150312,5.4
20150313,4.6
20150314,3.4
20150315,5.6
20150316,6.3
20150317,7.6
20150318,5.6
20150319,6.8
20150320,4.9
20150321,6.4
20150322,4.3
20150323,3.1
20150324,5.7
20150325,5.9
20150326,5
20150327,5.7
20150328,6.9
20150329,9.3
20150330,7.2
20150331,9
20150401,6.5
20150402,6.3
20150403,7
20150404,5.4
20150405,5.3
20150406,6.9
20150407,7.1
20150408,8.6
20150409,10.4
20150410,11.3
20150411,9
20150412,10
20150413,8.4
20150414,11.9
20150415,13.8
20150416,9.9
20150417,8.5
20150418,9
20150419,7.8
20150420,10.9
20150421,10
20150422,8.5
20150423,9.4
20150424,12.4
20150425,12.1
20150426,10.6
20150427,8
20150428,6
20150429,8.9
20150430,9.8
20150501,8.7
20150502,9.7
20150503,13
20150504,15.4
20150505,15.4
20150506,12.2
20150507,11.8
20150508,14.2
20150509,13.3
20150510,12.8
20150511,17.6
20150512,14.6
20150513,12.7
20150514,11.2
20150515,9.4
20150516,10.5
20150517,11.9
20150518,11.1
20150519,10
20150520,10.5
20150521,11.9
20150522,14.9
20150523,12.4
20150524,12.6
20150525,12.4
20150526,11.8
20150527,13.5
20150528,12.9
20150529,11.1
20150530,11.2
20150531,12.6
20150601,12.7
20150602,14.8
20150603,13.8
20150604,15.6
20150605,21.4
20150606,15.6
20150607,13.9
20150608,12.5
20150609,11.6
20150610,15.4
20150611,17.9
20150612,21.6
20150613,17.5
20150614,15.3
20150615,13.3
20150616,11.4
20150617,16
20150618,14.3
20150619,12.7
20150620,13
20150621,14.4
20150622,12.7
20150623,12.6
20150624,15.8
20150625,18.2
20150626,20.5
20150627,17.6
20150628,17.3
20150629,18
20150630,20.6
20150701,26
20150702,25.4
20150703,24.1
20150704,25.6
20150705,20.2
20150706,18.7
20150707,19.8
20150708,15.9
20150709,13.5
20150710,16.5
20150711,20.4
20150712,17.7
20150713,17.4
20150714,17.9
20150715,17.9
20150716,19.6
20150717,21.7
20150718,18.2
20150719,16.2
20150720,17.8
20150721,21
20150722,19.5
20150723,17.8
20150724,18.4
20150725,14.9
20150726,14.8
20150727,16.6
20150728,15.2
20150729,14.1
20150730,13.8
20150731,13.3
20150801,15.1
20150802,17.7
20150803,21.5
20150804,18
20150805,18.9
20150806,20.5
20150807,20.6
20150808,18.7
20150809,18.6
20150810,19.8
20150811,20
20150812,19.5
20150813,21.7
20150814,20.9
20150815,18.4
20150816,15
20150817,14.3
20150818,14.6
20150819,16.5
20150820,17.9
20150821,19.7
20150822,20.7
20150823,19.7
20150824,17.9
20150825,16.7
20150826,20.2
20150827,15.7
20150828,15.4
20150829,17
20150830,20
20150831,20.9
20150901,16.1
20150902,13.2
20150903,12.2
20150904,13.5
20150905,13.2
20150906,13.1
20150907,14.2
20150908,13.9
20150909,13.1
20150910,14.3
20150911,14.3
20150912,15.7
20150913,16.6
20150914,14.5
20150915,12.5
20150916,15.4
20150917,14.4
20150918,13.9
20150919,13.4
20150920,13.5
20150921,14.6
20150922,13.1
20150923,13.2
20150924,12.6
20150925,11.6
20150926,10.4
20150927,11
20150928,10.5
20150929,11.7
20150930,12.3
20151001,10.6
20151002,10.3
20151003,10.3
20151004,10.3
20151005,13.1
20151006,15.3
20151007,14.9
20151008,12.4
20151009,10.2
20151010,10.9
20151011,6.5
20151012,4.8
20151013,3.8
20151014,5.1
20151015,6.3
20151016,7.7
20151017,8.1
20151018,8.4
20151019,10.5
20151020,9.5
20151021,9.7
20151022,11.9
20151023,11.4
20151024,11.8
20151025,9.9
20151026,10.5
20151027,11.1
20151028,10.6
20151029,10.7
20151030,10.2
20151031,9.8
20151101,7.7
20151102,6.9
20151103,9
20151104,12.2
20151105,13.3
20151106,15.5
20151107,16.4
20151108,13.1
20151109,13.6
20151110,14.5
20151111,12.7
20151112,13.3
20151113,11.4
20151114,9.7
20151115,14.3
20151116,12.5
20151117,13.5
20151118,13.1
20151119,11.2
20151120,7.9
20151121,4.3
20151122,2.6
20151123,3.2
20151124,4.2
20151125,5.4
20151126,4
20151127,4.5
20151128,6.7
20151129,10.2
20151130,9.5
20151201,9.7
20151202,11
20151203,9.8
20151204,9.4
20151205,7.9
20151206,10.5
20151207,10.5
20151208,9.8
20151209,7.6
20151210,5.9
20151211,7
20151212,7.6
20151213,6.8
20151214,7.6
20151215,7.4
20151216,11.4
20151217,13.6
20151218,11.8
20151219,12.2
20151220,11.6
20151221,10.4
20151222,13
20151223,10.6
20151224,9.8
20151225,9.6
20151226,13.1
20151227,11.8
20151228,8.9
20151229,7.5
20151230,6.9
20151231,7.8
